Application,General_Name,Category,Approved,PO_number,Quantity,PO_Order_Date,Term_Start_date,Term_End_date,Unit_Price,Total_Amount
Adobe Photoshop (Beta),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop 2020,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop 2021,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop 2022,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop CC 2018,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Photoshop CC 2019,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Premiere Pro 2021,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Premiere Pro 2022,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Premiere Pro 2023,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Premiere Pro 2024,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Premiere Rush,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader 8.1.0,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader 8.1.2,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader 9.3,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader 9.3.3,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader 9.4.0,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader X (10.1.1),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader X (10.1.16),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader X (10.1.16) MUI,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader XI (11.0.02),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader XI (11.0.13),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Reader XI (11.0.23),Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Refresh Manager,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Substance 3D Designer,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Substance 3D Modeler,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Substance 3D Painter,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Substance 3D Sampler,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe Substance 3D Stager,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe SVG Viewer 3.0,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe UXP Developer Tool,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
Adobe UXP Developer Tools,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
AdobeAcrobatDC,Adobe,Licensed,YES,12103128,353,2022-11-23,2022-11-30,2025-11-29,1811655,1811655
AdoptOpenJDK JDK with Hotspot 11.0.7.10 (x64),AdoptOpenJDK JDK ,Freeware,,,,,,,,
AdoptOpenJDK JRE with Hotspot 11.0.7.10 (x64),AdoptOpenJDK JDK ,Freeware,,,,,,,,
ADSDK Redistributable,ADSDK Redistributable,Freeware,,,,,,,,
ADSDK Redistributable (64 bit),ADSDK Redistributable,Freeware,,,,,,,,
Advanced BAT to EXE Converter v4.52,Advanced BAT to EXE Converter,Freeware,,,,,,,,
Advanced Energy Basic Bus Module Profile,Advanced Energy Basic Bus Module Profile,Freeware,,,,,,,,
Advanced Installer 20.6,Advanced Installer,Freeware,,,,,,,,
Advanced Micro Controls 1734 Specialty Module Profiles,Advanced Micro Controls,Licensed,NO,,,,,,,
Advanced Micro Controls 1756 Specialty Module Profiles,Advanced Micro Controls,Licensed,NO,,,,,,,
Advanced Micro Controls 1769 Specialty Module Profiles,Advanced Micro Controls,Licensed,NO,,,,,,,
Advanced View 4.0.0,Advanced View,Freeware,,,,,,,,
Advanced View 4.2.0,Advanced View,Freeware,,,,,,,,
Advanced View 4.3.0,Advanced View,Freeware,,,,,,,,
Advanced View 4.5.0,Advanced View,Freeware,,,,,,,,
Advanced View 4.5.3,Advanced View,Freeware,,,,,,,,
Advanced View 4.6.3,Advanced View,Freeware,,,,,,,,
Advanced View 4.6.4,Advanced View,Freeware,,,,,,,,
Aero (Beta),Aero (Beta),Freeware,,,,,,,,
Agent Ransack x64,Agent Ransack,Freeware,,,,,,,,
AhnLab Safe Transaction,AhnLab,Licensed,YES,,,,,,,
ahsProtector,ahsProtector,Freeware,,,,,,,,
AirDroid 3.6.6.1,AirDroid,Freeware,,,,,,,,
AirMedia,AirMedia,Freeware,,,,,,,,
airtel,airtel,Freeware,,,,,,,,
Airtel 4G,airtel,Freeware,,,,,,,,
Airtel 4G MIFI,airtel,Freeware,,,,,,,,
Alcor Micro Smart Card Reader Driver,Miscellaneous Drivers,Freeware,,,,,,,,
Alienware CC Components for AWCC (1.1.40.0),Microsoft Windows Drivers / Tools,Image,,,,,,,,
Alienware Command Center Package Manager,Microsoft Windows Drivers / Tools,Image,,,,,,,,
