AppName,Category,Approved,POavailable,POnumber,Quantity,POOrderDate,TermStartdate,TermEnddate,POdescription,UnitPrice,TotalAmount,Comments
Toad for Oracle ,Licensed,YES,PO available,12019219 ,15,28-Jan-22,01/02/22,28/02/25,TOAD for Oracle Xpert Edition License/Maint; 37 months,30780,30780,
TeamMate,Licensed,YES,PO available,12141648,1,17-Apr-24,01/05/24,30/04/25,TeamMate+ Audit SW MNT; Term 5/1/2024 - 4/30/2025 Ref # 2839,13178.98,13178.98,
Schneider Electric,Licensed,YES,,,,,,,,,,
Micro Focus,Licensed,YES,PO available,12199053,1,25-Oct-23,01/11/23,31/10/24,iDeliver Micro Focus Support,162020.13,162020.13,
SATO,Licensed,YES,Vendor available,,,,,,,,,
Maxon Cinema 4D,Licensed,YES,,,,,,,,,,
IBM WebSphere,Licensed,YES,PO available,12234927,1,30-Mar-24,01/04/24,31/03/25,IBM PPA Annual Software Renewal + Security Verify Privilege Vault (Secret Server) - 4/1/2024 - 3/31/2025 Ref #2723,1611564.146,1611564.146,
Articulate Storyline 360,Licensed,YES,Vendor available,,,,,,,,,
Delta Controls,Licensed,YES,,,,,,,,,,
1099 Pro Software,Licensed,YES,PO available,12196752,1,12-Oct-23,25/10/23,24/10/24,1099 Pro 2023 Enterprise Multi-User (2-5 users) - 5k Records,1112,1112,
Workshare Compare ,Licensed,NO,PO available,12228849,SaaS,26-Feb-24,11/03/24,10/03/25,Litera Compare and MetaDact Subscription/Support,2620,2620,
Tableau Server Command Line Utility,Licensed,YES,PO available,12114743,SaaS,10-Jan-23,31/08/22,30/08/24,Tableau - Annual Subscription,529760,529760,
PDFCreator Professional,Licensed,YES,PO available,12258874,10,12-Jul-24,30/08/24,30/08/25,PDFCreator Professional - Coverage,19.65,196.5,
SafePoint,Licensed,YES,PO available,12245629,10,08-May-24,01/06/24,31/05/25,SafePoint Admin and Reports Safeguard Managing and Reporting,1578.1,15781,
OZWebLauncher,Licensed,YES,,,,,,,,,,
Kofax Capture,Licensed,NO,PO available,12024776,1,18-Feb-22,01/03/22,28/02/23,EMC Centera Maintenance Renewal for SLC and Col Quote 23465130-1607253 - Term 3/1/22 - 2/28/23,9230.9,9230.9,not renewed
ICCSimTMat for Fiserv,Licensed,YES,PO available,12248070,1,20-May-24,06/06/24,06/06/25,ICC SimTMat for Fiserv Maintenance,6600,6600,
Sick Sensor Intelligence,Licensed,NO,,,,,,,,,,
Camtasia,Licensed,NO,PO available,11358370,,,,,,,,
Velocity Console,Licensed,YES,PO available,12210335,,,,,,,,
Synamedia VideoGuard Player,Licensed,NO,,,,,,,,,,
Workshare Desktop,Licensed,NO,PO available,12228849,SaaS,26-Feb-24,11/03/24,10/03/25,Litera Compare and MetaDact Subscription/Support,2620,2620,
Workshare Professional,Licensed,NO,PO available,12228849,SaaS,26-Feb-24,11/03/24,10/03/25,Litera Compare and MetaDact Subscription/Support,2620,2620,
Velocity,Licensed,YES,PO available,12210335,,,,,,,,
Skyhigh Client Proxy,Licensed,NO,,,,,,,,,,
Palm Conduit Support for COM,Licensed,NO,,,,,,,,,,
Primary Setup Tool,Licensed,YES,,,,,,,,,,
SQL Anywhere,Licensed,YES,,,,,,,,,,
JDA Space Planning,Licensed,YES,PO available,12225339,SaaS,07-Feb-24,26/02/24,25/02/25,JDA Allocation Renewal; Term: 2/26/2024 - 2/25/2025 Ref # 2644,330589.4,330589.4,
JDA Category Knowledge Base,Licensed,YES,PO available,12225338,SaaS,07-Feb-24,26/02/24,25/02/25,JDA Category Management; Term: 2/26/2024 - 2/25/2025 Ref # 2645,150809.27,150809.27,
JDA Floor Planning,Licensed,YES,PO available,12225339,SaaS,07-Feb-24,26/02/24,25/02/25,JDA Allocation Renewal; Term: 2/26/2024 - 2/25/2025 Ref # 2644,330589.4,330589.4,
Movie Maker,Licensed,NO,,,,,,,,,,
MDOP MBAM,Licensed,NO,,,,,,,,,,
FvTable,Licensed,NO,,,,,,,,,,
Azalea C39Tools,Licensed,NO,,,,,,,,,,
Azalea C128Tools,Licensed,NO,,,,,,,,,,
PanTherLink,Licensed,YES,,,,,,,,,,
ONESOURCE SU,Licensed,YES,PO available,12013427,1,04-Jan-22,31/12/21,30/12/24,Thomson Reuters ONESOURCE IDT Premium Support,547396.31,547396.31,
Charles,Licensed,YES,PO available,11128417,,,,,,,,
Brio Explorer,Licensed,NO,,,,,,,,,,
VMware vSphere Client,Licensed,YES,PO available,12063153,1,09-Jul-21,08/07/22,08/06/25,VMware ELA - Term - 7/8/2022 - 6/8/2025,5190706,5190706,
Teamquest View,Licensed,YES,Vendor available,,,,,,,,,
USBCOMInstaller,Licensed,YES,,,,,,,,,,
RealVNC Server,Licensed,YES,PO available,12228184,1,21-Feb-24,14/03/24,14/03/25,VNC Connect Professional Instant Support - RealVNC,6000,6000,
Quest SQL Optimizer for Oracle,Licensed,NO,PO available,12019219 ,5,28-Jan-22,01/02/22,28/02/25,TOAD for Oracle Xpert Edition License/Maint; 37 months,30780,30780,
Pulse Application Launcher,Licensed,NO,,,,,,,,,,
Milestone XProtect Smart Client ,Licensed,YES,,,,,,,,,,
Kofax VRS,Licensed,YES,PO available,12024776,,,,,,,,
