Hostname,Serial number,OS version,Device type,Manufacturer,Model,Last seen,,
JCPSI3RKS,PC0E3RKS,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKT,PC0E3RKT,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKU,PC0E3RKU,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKV,PC0E3RKV,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3RKW,PC0E3RKW,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T06:00:00Z,,
JCPSI3RKY,PC0E3RKY,Windows 10,Workstation,LENOVO,10FLA07DIG,2023-08-22T07:00:00Z,,
JCPSI3S6F,PG033S6F,Windows 10,Workstation,LENOVO,20TA00J2IG,2023-08-22T05:00:00Z,,
JCPSI44V8GH2,44V8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-21T05:00:00Z,,
JCPSI4H1F,JCY4H1F6N4,Monterey (12),Workstation,Apple Inc.,"MacBookPro18,1",2023-08-22T06:00:00Z,,
JCPSI514M,C02T514MH03Y,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-22T07:00:00Z,,
JCPSI514N,C02T514NH03Y,Catalina (10.15),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-22T06:00:00Z,,
JCPSI5151,C02T5151H03Y,Mojave (10.14),Workstation,Apple Inc.,"MacBookPro13,3",2023-08-21T12:00:00Z,,
JCPSI51PF,C02V51PFHTD6,Mojave (10.14),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI51T4,C02V51T4HTD6,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI51US,C02V51USHTD6,Big Sur (11.0),Workstation,Apple Inc.,"MacBookPro14,3",2023-08-22T06:00:00Z,,
JCPSI58N8GH2,58N8GH2,Windows 10,Workstation,Dell Inc.,Latitude 7480,2023-08-01T17:00:00Z,,
JCPSI59Z3,GM0859Z3,Windows 10,Workstation,LENOVO,30G0S0E200,2023-07-27T10:00:00Z,,
JCPSI59Z4,GM0859Z4,Windows 10,Workstation,LENOVO,30G0S0E200,2023-07-27T09:00:00Z,,
JCPSI5W6K,5CG0095W6K,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T07:00:00Z,,
JCPSI5W6L,5CG0095W6L,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6M,5CG0095W6M,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-07-11T06:00:00Z,,
JCPSI5W6P,5CG0095W6P,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6Q,5CG0095W6Q,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6R,5CG0095W6R,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T05:00:00Z,,
JCPSI5W6S,5CG0095W6S,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T07:00:00Z,,
JCPSI5W6T,5CG0095W6T,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T07:00:00Z,,
JCPSI5W6V,5CG0095W6V,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-22T06:00:00Z,,
JCPSI5W6W,5CG0095W6W,Windows 10,Workstation,HP,HP EliteBook 840 G6,2023-08-18T10:00:00Z,,
